Image,PSNR,Entropy,Enc_Time,Dec_Time,Security
brain (3).jpg,100,7.72438452751509,0.0010035037994384766,0.0,Normal
brain (30).jpg,100,7.8956806555379995,0.0010013580322265625,0.0,Normal
brain (31).jpg,100,7.980518997861157,0.0,0.0,Normal
brain (32).jpg,100,7.943748332992163,0.0,0.0,Normal
brain (33).jpg,100,7.975027659554507,0.0010571479797363281,0.0,Normal
brain (34).jpg,100,7.928707516810069,0.0,0.0,Attack
brain (35).jpg,100,7.9721178818922525,0.0,0.0,Normal
brain (36).jpg,100,7.908712592358311,0.0,0.0,Attack
brain (37).jpg,100,7.980067486172405,0.0,0.0,Normal
brain (38).jpg,100,7.966099892316913,0.0,0.0,Normal
brain (39).jpg,100,7.980930777870569,0.0,0.0,Normal
brain (4).jpg,100,7.946404902206453,0.0,0.0,Normal
brain (40).jpg,100,7.985862646401699,0.0,0.0,Attack
brain (41).jpg,100,7.966142592658178,0.0,0.0,Attack
brain (42).jpg,100,7.903504620402821,0.0,0.0,Attack
brain (43).jpg,100,7.9120994729174585,0.0,0.0,Attack
brain (44).jpg,100,7.9188430558573595,0.0,0.0,Attack
brain (45).jpg,100,7.9664823178231305,0.0010025501251220703,0.0,Attack
brain (46).jpg,100,7.926857289319559,0.0,0.001005411148071289,Normal
brain (47).jpg,100,7.952097967942567,0.0,0.0,Attack
brain (48).jpg,100,7.910650975684152,0.0,0.0,Normal
brain (49).jpg,100,7.752948236834525,0.0,0.0,Attack
brain (5).jpg,100,7.949598004067956,0.0,0.0,Normal
brain (50).jpg,100,7.969789988500903,0.0,0.0010712146759033203,Attack
brain (51).jpg,100,7.953854749595765,0.0,0.0,Normal
brain (52).jpg,100,7.950066761378677,0.0,0.0,Attack
brain (53).jpg,100,7.978798046723721,0.0,0.0,Attack
brain (54).jpg,100,7.991136053326802,0.0,0.00099945068359375,Attack
brain (55).jpg,100,7.96200826352037,0.0,0.0,Normal
brain (56).jpg,100,7.862684922441143,0.0,0.0,Normal
brain (57).jpg,100,7.914309462648222,0.0,0.0,Attack
brain (58).jpg,100,7.914465826675806,0.0,0.0,Attack
brain (59).jpg,100,7.937800916406648,0.0,0.0,Attack
brain (6).jpg,100,7.966526441122863,0.0010008811950683594,0.0,Attack
brain (60).jpg,100,7.894478234135723,0.0,0.0,Attack
brain (61).jpg,100,7.974442766435673,0.0,0.0009996891021728516,Attack
brain (62).jpg,100,7.898794991675317,0.0,0.0,Attack
brain (63).jpg,100,7.958598866636767,0.0011119842529296875,0.0,Attack
brain (64).jpg,100,7.960898895743099,0.0,0.001054525375366211,Attack
brain (65).jpg,100,7.98011622453766,0.0010516643524169922,0.0,Attack
brain (66).jpg,100,7.889762159767045,0.0,0.0,Attack
brain (67).jpg,100,7.837293109569298,0.0,0.0,Attack
brain (68).jpg,100,7.94875868876527,0.0,0.0,Normal
brain (69).jpg,100,7.973583957083973,0.0,0.0,Attack
brain (7).jpg,100,7.950760269934825,0.0,0.0,Attack
brain (70).jpg,100,7.840485164369625,0.0010004043579101562,0.0,Normal
brain (71).jpg,100,7.927294169754712,0.001001596450805664,0.0,Attack
brain (72).jpg,100,7.971206544365073,0.0010006427764892578,0.0,Attack
brain (73).jpg,100,7.919344091292567,0.0,0.0,Attack
brain (74).jpg,100,7.987108657443202,0.0,0.0,Attack
brain (75).jpg,100,7.918505195610275,0.0,0.0009996891021728516,Attack
brain (76).jpg,100,7.9264165059783505,0.0,0.0,Attack
brain (77).jpg,100,7.9036114723328215,0.0,0.0,Attack
brain (78).jpg,100,7.895545200349524,0.0,0.0,Attack
brain (79).jpg,100,7.9493499102585155,0.0,0.0,Attack
brain (8).jpg,100,7.639659352809048,0.0,0.0,Attack
brain (80).jpg,100,7.802488779522802,0.0010023117065429688,0.0,Attack
brain (81).jpg,100,7.637171994100016,0.0,0.0011112689971923828,Attack
brain (82).jpg,100,7.859190830147261,0.0,0.0010006427764892578,Attack
brain (83).jpg,100,7.974539510769409,0.001026153564453125,0.0,Normal
